piece_number,short_name,title,subtitle,icon,category,theme_color,set_name,set_folder,piece_type,activity_1,activity_2,activity_3,activity_4,activity_5,activity_6,activity_7,star_benefit,heart_benefit,source_type,source_name,source_link,source_date,v1_laser_path,v2_uv_path,v3_color_path,v1_cdn_url,v2_cdn_url,v3_cdn_url,png_individual_path,png_individual_url,svg_path,base44_files_uploaded,git_committed,status,review_notes,audit_status,audit_notes,illustration_cdn_url,v1_front_cdn,v2_front_cdn,v3_front_cdn,v1_back_cdn,v2_back_cdn,v3_back_cdn,render_params_json,v1_front_url,v1_back_url,v2_front_url,v3_front_url,v3_back_url
1,isshin-one-mind,Isshin — One Mind,The 300-year-old Japanese focus method that rewires your ...,🎯,Focus,#4527A0,Lucky7,lucky7_growth_set,Core,Choose ONE task before sitting down — no switching allowed,Set a 25-min timer and close every other tab,Write distracting thoughts on paper instead of acting on them,Take a 5-min walk or stretch after each block,Log how many unbroken Isshin blocks you complete each day,Celebrate every unbroken block — small wins compound fast,,Save hours of wasted context-switching daily,Focused humans make better decisions for the planet,YouTube,Presence & Purpose,https://youtube.com/watch?v=x4U1FdGeuwA,2026-04-09,,,,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/58f1e6b94_generated_image.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/67cdf8f22_generated_image.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/61877481c_generated_image.png,,/app/puzzle4life/svg/001_isshin-one-mind.svg,No,true,true,Ready,,PASS,,,,,,,,,,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/58f1e6b94_generated_image.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/493df767a_generated_image.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/67cdf8f22_generated_image.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/61877481c_generated_image.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/c5def5637_generated_image.png
2,90-second-brain-capture,90-Second Brain Capture,How to earn someone's full attention in under two minutes,🧠,Creativity,#F57C00,Lucky7,lucky7_growth_set,Core,Open with a bold specific claim — not a greeting,State the problem you solve in 10 words or fewer,Use one vivid story or statistic in the first 30 seconds,Mirror the listener's body language and pacing,End with a single clear call to action,Practice your 90-second pitch daily — record yourself,,Convert attention into real opportunities,Better communication reduces wasted effort and resources,YouTube,Chase Hughes,https://youtube.com/watch?v=B8LpmXimAOk,2026-04-09,,,,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/d26f1de33_generated_image.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/86b83cbcd_generated_image.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/f2d20d82c_generated_image.png,,/app/puzzle4life/svg/002_90-second-brain-capture.svg,No,true,true,Ready,,PASS,,,,,,,,,,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/d26f1de33_generated_image.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/6c780048d_generated_image.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/86b83cbcd_generated_image.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/f2d20d82c_generated_image.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/dea3c9738_generated_image.png
3,ambitious-unfocused-dangerous,Ambitious + Unfocused = Dangerous with AI,How AI amplifies ambition — for better or worse,⚡,AI/Tech,#0277BD,Lucky7,lucky7_growth_set,Core,Define your ONE north star goal for this week — write it down,Use AI only for tasks on your priority list not distractions,Set a daily AI office hours — 30 min of focused AI leverage,Review AI outputs critically — validate before you ship,Track which AI tools saved you the most time this week,Turn one manual task into an automation this month,,AI leverage multiplies your output per dollar spent,Focused AI use reduces digital waste and energy burn,YouTube,The MIT Monk,https://youtube.com/watch?v=m7U0353WlrQ,2026-04-09,,,,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/9ec567009_generated_image.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/88b2f036e_generated_image.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/0fc0942ff_generated_image.png,,/app/puzzle4life/svg/003_ambitious-unfocused-dangerous-.svg,No,true,true,Ready,,PASS,,,,,,,,,,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/9ec567009_generated_image.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/c97f0117c_generated_image.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/88b2f036e_generated_image.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/0fc0942ff_generated_image.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/a4403676d_generated_image.png
4,sink-the-ships-kill-plan-b,Sink the Ships — Kill Plan B,When there's no retreat Plan A becomes inevitable,⚓,Mindset,#7B2D8B,Lucky7,lucky7_growth_set,Core,Identify your #1 goal and write down what your Plan B is,Eliminate the Plan B — delete the escape route publicly,Make a public commitment to one person today,Put financial stakes on it — pay before you feel ready,Block or delete one thing that competes with Plan A,Time-box the hard task: 90 min then ship something,,Full commitment accelerates results and reduces waste,Decisive action creates real solutions not half-measures,YouTube,The MIT Monk,https://youtu.be/p3F-1QyvHnY,2026-04-09,,,,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/7a8abf61b_generated_image.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/f863e1d00_generated_image.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/80a2f1220_generated_image.png,,/app/puzzle4life/svg/004_sink-the-ships-kill-plan-b.svg,No,true,true,Ready,,PASS,,,,,,,,,,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/7a8abf61b_generated_image.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/382c2ea5f_generated_image.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/f863e1d00_generated_image.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/80a2f1220_generated_image.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/7ee504283_generated_image.png
5,willpower-is-a-fuel-tank,Willpower is a Fuel Tank,Stop fighting biology — design around it instead,⛽,Habit,#2E7D32,Lucky7,lucky7_growth_set,Core,Schedule your hardest task before 11am when tank is full,Identify 3 daily decisions you can automate or eliminate,Create a morning autopilot — same routine no choices,Lock 3 variables for deep work: time place trigger,Use same playlist every time you do focused work,Track your energy levels morning vs evening for 1 week,,Peak-hour work multiplies output — same time less effort,Sustainable energy management is good for people and planet,YouTube,The MIT Monk,https://youtu.be/p3F-1QyvHnY,2026-04-09,,,,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/802061cba_generated_image.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/4455d581b_generated_image.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/b47ea0e3a_generated_image.png,,/app/puzzle4life/svg/005_willpower-is-a-fuel-tank.svg,No,true,true,Ready,,PASS,,,,,,,,,,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/802061cba_generated_image.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/bdff0b87e_generated_image.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/4455d581b_generated_image.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/b47ea0e3a_generated_image.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/2dda1c9a0_generated_image.png
6,if-then-planning,If-Then Planning,Mental algorithms cut failure rate from 62% to 9%,🔀,Focus,#4527A0,Lucky7,lucky7_growth_set,Core,Write 3 If-Then rules for your top priorities this week,Example: If it's 8:30am Mon then I open my Wormspire dashboard,Add If-Then rules to your Lucky 7 morning check-in,When brain bargains just skip today run the algorithm instead,Review your If-Then rules every Sunday in Weekly Ops Review,Celebrate every time you followed the algorithm — build reward loop,,Automated decisions save mental energy for high-value work,Consistent action on sustainability habits requires automation,YouTube,The MIT Monk,https://youtu.be/p3F-1QyvHnY,2026-04-09,,,,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/6ab9ddaf4_generated_image.png,,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/b97001fea_generated_image.png,,/app/puzzle4life/svg/006_if-then-planning.svg,No,true,true,Ready,,PASS,,,,,,,,,,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/6ab9ddaf4_generated_image.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/cac36bf3f_generated_image.png,,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/b97001fea_generated_image.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/c30ca881a_generated_image.png
7,the-checklist-is-your-superpower,The Checklist is Your Superpower,Experts outsource decisions to checklists — so should you,✅,Business,#1565C0,Lucky7,lucky7_growth_set,Core,Pick one recurring task and write a 5-step checklist for it,Create a Wormspire shipping checklist — run it every order,Build a weekly ops checklist for your Sunday review,Add a before bed checklist to your Lucky 7 evening wind-down,Review and refine each checklist monthly — remove friction,Share your best checklist with your co-founder Michael,,Checklists eliminate costly errors and rework,Consistent quality processes reduce waste at every step,YouTube,The MIT Monk,https://youtu.be/p3F-1QyvHnY,2026-04-09,,,,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/9bad8ac2e_generated_image.png,,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/3e26b9b59_generated_image.png,,/app/puzzle4life/svg/007_the-checklist-is-your-superpow.svg,No,true,true,Ready,,PASS,,,,,,,,,,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/9bad8ac2e_generated_image.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/e1e0c0144_generated_image.png,,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/3e26b9b59_generated_image.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/998246bbc_generated_image.png
8,repetition-becomes-craving,Repetition Becomes Craving,Your brain begins to want what it repeatedly does,🔄,Habit,#2E7D32,Lucky7,lucky7_growth_set,Core,Pick ONE new habit and do it at the exact same time daily for 14 days,Anchor it to an existing routine (after coffee before shower),Track it daily in your HabitLog — streaks build identity,When you miss a day never miss twice — restart immediately,After 14 days notice if you feel off when you skip it,Expand to a second habit only after the first feels automatic,,Habit stacking removes willpower cost — free performance gains,Sustainable daily habits create lasting environmental change,YouTube,The MIT Monk,https://youtu.be/p3F-1QyvHnY,2026-04-09,,,,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/30df6685c_generated_image.png,,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/a52223ab1_generated_image.png,,/app/puzzle4life/svg/008_repetition-becomes-craving.svg,No,true,true,Ready,,PASS,,,,,,,,,,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/30df6685c_generated_image.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/41f599b74_generated_image.png,,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/a52223ab1_generated_image.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/0d739a649_generated_image.png
9,smart-shopping,Smart Shopping,Plan before you buy — avoid duplicates and overspending,🛒,Sustainability,#2E7D32,Food Waste,food_waste_set,Core,Plan 3 meals before going shopping,Check fridge and pantry before buying anything,Write a grocery list and stick to it,Buy only what you need this week,Avoid impulse buys by eating before you shop,,Avoid buying duplicates → save $10–20/week,Reduces overproduction demand and supply chain emissions,Puzzle4Life Set,Food Waste Action Set,,2026-04-14,/app/puzzle4life/food_waste_set/v1_laser_engraved_basswood.png,/app/puzzle4life/food_waste_set/v2_uv_icons_text_on_wood.png,/app/puzzle4life/food_waste_set/v3_full_vibrant_color.png,https://base44.app/api/apps/69d577e334f46ea2be6055ca/files/mp/public/69d577e334f46ea2be6055ca/1b9428985_fw_v1_laser_engraved_basswood.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/97515a432_generated_image.png,https://base44.app/api/apps/69d577e334f46ea2be6055ca/files/mp/public/69d577e334f46ea2be6055ca/c9e04b2da_fw_v3_full_vibrant_color.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/3e3531cc5_generated_image.png,,Yes,Yes,true,true,Ready,,PASS,,,,,,,,,,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/97515a432_generated_image.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/f5d62d6a5_generated_image.png,,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/3e3531cc5_generated_image.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/308358b22_generated_image.png
10,proper-storage,Proper Storage,Keep food fresh longer with smart storage habits,🧺,Sustainability,#1565C0,Food Waste,food_waste_set,Core,Store greens in airtight containers,Keep herbs in water jars in the fridge,Separate ethylene-producing fruits from vegetables,Label containers with dates,Freeze bread and proteins before they go stale,,Food lasts longer → fewer replacements → save $5–15/week,Less food sent to landfill = less methane + less water wasted,Puzzle4Life Set,Food Waste Action Set,,2026-04-14,/app/puzzle4life/food_waste_set/v1_laser_engraved_basswood.png,/app/puzzle4life/food_waste_set/v2_uv_icons_text_on_wood.png,/app/puzzle4life/food_waste_set/v3_full_vibrant_color.png,https://base44.app/api/apps/69d577e334f46ea2be6055ca/files/mp/public/69d577e334f46ea2be6055ca/1b9428985_fw_v1_laser_engraved_basswood.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/f065c0972_generated_image.png,https://base44.app/api/apps/69d577e334f46ea2be6055ca/files/mp/public/69d577e334f46ea2be6055ca/c9e04b2da_fw_v3_full_vibrant_color.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/6848f30de_generated_image.png,,Yes,Yes,true,true,Ready,,PASS,,,,,,,,,,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/f065c0972_generated_image.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/70eb49b2b_generated_image.png,,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/6848f30de_generated_image.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/9e1481280_generated_image.png
11,eat-me-first,Eat Me First Zone,Use what you already bought before it goes bad,🥕,Sustainability,#E65100,Food Waste,food_waste_set,Core,Create a visible eat-first section in your fridge,Move older items to the front daily,Check the eat-first zone before cooking any meal,Do a quick fridge scan every morning,Post a sticky note on fridge as daily reminder,,Use what you already paid for — zero extra cost,Prevents forgotten food waste from ever reaching landfill,Puzzle4Life Set,Food Waste Action Set,,2026-04-14,/app/puzzle4life/food_waste_set/v1_laser_engraved_basswood.png,/app/puzzle4life/food_waste_set/v2_uv_icons_text_on_wood.png,/app/puzzle4life/food_waste_set/v3_full_vibrant_color.png,https://base44.app/api/apps/69d577e334f46ea2be6055ca/files/mp/public/69d577e334f46ea2be6055ca/1b9428985_fw_v1_laser_engraved_basswood.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/8b610279c_generated_image.png,https://base44.app/api/apps/69d577e334f46ea2be6055ca/files/mp/public/69d577e334f46ea2be6055ca/c9e04b2da_fw_v3_full_vibrant_color.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/7225633e0_generated_image.png,,Yes,Yes,true,true,Ready,,PASS,,,,,,,,,,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/8b610279c_generated_image.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/1622687bc_generated_image.png,,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/7225633e0_generated_image.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/9d57d8e7f_generated_image.png
12,leftover-magic,Leftover Magic,Transform leftovers into new meals — don't toss them,🍲,Sustainability,#6A1B9A,Food Waste,food_waste_set,Core,Turn last night's dinner into a new meal,Freeze extras before they go bad,Label leftovers with the date made,Try one new leftover recipe this week,Plan a weekly leftover night,,Replace takeout with leftovers → save $15–30/week,Reduces unnecessary food production and packaging waste,Puzzle4Life Set,Food Waste Action Set,,2026-04-14,/app/puzzle4life/food_waste_set/v1_laser_engraved_basswood.png,/app/puzzle4life/food_waste_set/v2_uv_icons_text_on_wood.png,/app/puzzle4life/food_waste_set/v3_full_vibrant_color.png,https://base44.app/api/apps/69d577e334f46ea2be6055ca/files/mp/public/69d577e334f46ea2be6055ca/1b9428985_fw_v1_laser_engraved_basswood.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/7f9caf0cc_generated_image.png,https://base44.app/api/apps/69d577e334f46ea2be6055ca/files/mp/public/69d577e334f46ea2be6055ca/c9e04b2da_fw_v3_full_vibrant_color.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/b9c3059dc_generated_image.png,,Yes,Yes,true,true,Ready,,PASS,,,,,,,,,,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/7f9caf0cc_generated_image.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/7306bcbd8_generated_image.png,,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/b9c3059dc_generated_image.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/0711005f9_generated_image.png
13,compost-scraps,Compost Scraps,Feed the soil not the landfill,🪱,Sustainability,#558B2F,Food Waste,food_waste_set,Core,Collect food scraps daily into a container,Start a compost bin or Wormspire tower,Avoid composting meat and dairy (basic),Use finished compost in your garden or give it away,Connect with Austin Worm Lab for starter worms,,Reduce trash bags + create free fertilizer → save $5–10/mo,Cuts methane emissions — food in landfill is a climate crisis,Puzzle4Life Set,Food Waste Action Set,,2026-04-14,/app/puzzle4life/food_waste_set/v1_laser_engraved_basswood.png,/app/puzzle4life/food_waste_set/v2_uv_icons_text_on_wood.png,/app/puzzle4life/food_waste_set/v3_full_vibrant_color.png,https://base44.app/api/apps/69d577e334f46ea2be6055ca/files/mp/public/69d577e334f46ea2be6055ca/1b9428985_fw_v1_laser_engraved_basswood.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/0a75450d9_generated_image.png,https://base44.app/api/apps/69d577e334f46ea2be6055ca/files/mp/public/69d577e334f46ea2be6055ca/c9e04b2da_fw_v3_full_vibrant_color.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/715ee746a_generated_image.png,,Yes,Yes,true,true,Ready,,PASS,,,,,,,,,,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/0a75450d9_generated_image.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/bb26ae211_generated_image.png,,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/715ee746a_generated_image.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/998d5ce4b_generated_image.png
